x,y
110.6,-0.136667
110.7,-0.136505
110.8,-0.136289
110.9,-0.13602
111,-0.135697
111.1,-0.135321
111.2,-0.134892
111.3,-0.134411
111.4,-0.133878
111.5,-0.133293
111.6,-0.132657
111.7,-0.13197
111.8,-0.131233
111.9,-0.130446
112,-0.129609
112.1,-0.128724
112.2,-0.12779
112.3,-0.126809
112.4,-0.125781
112.5,-0.124706
112.6,-0.123584
112.7,-0.122418
112.8,-0.121207
112.9,-0.119951
113,-0.118652
113.1,-0.117311
113.2,-0.115927
113.3,-0.114502
113.4,-0.113036
113.5,-0.111531
113.6,-0.109986
113.7,-0.108402
113.8,-0.106781
113.9,-0.105123
114,-0.103429
114.1,-0.1017
114.2,-0.0999365
114.3,-0.0981392
114.4,-0.0963091
114.5,-0.0944471
114.6,-0.092554
114.7,-0.0906306
114.8,-0.088678
114.9,-0.0866969
115,-0.0846883
115.1,-0.082653
115.2,-0.080592
115.3,-0.0785062
115.4,-0.0763964
115.5,-0.0742638
115.6,-0.072109
115.7,-0.0699332
115.8,-0.0677373
115.9,-0.0655222
116,-0.0632888
116.1,-0.0610382
116.2,-0.0587712
116.3,-0.0564889
116.4,-0.0541922
116.5,-0.0518821
116.6,-0.0495596
116.7,-0.0472256
116.8,-0.0448812
116.9,-0.0425272
117,-0.0401646
117.1,-0.0377946
117.2,-0.0354179
117.3,-0.0330356
117.4,-0.0306487
117.5,-0.0282581
117.6,-0.0258648
117.7,-0.0234698
117.8,-0.021074
117.9,-0.0186784
118,-0.016284
118.1,-0.0138917
118.2,-0.0115024
118.3,-0.00911713
118.4,-0.0067368
118.5,-0.00436235
118.6,-0.0019947
118.7,0.00036523
118.8,0.00271651
118.9,0.00505825
119,0.00738953
119.1,0.00970946
119.2,0.0120172
119.3,0.0143117
119.4,0.0165923
119.5,0.0188581
119.6,0.0211081
119.7,0.0233416
119.8,0.0255578
119.9,0.0277557
120,0.0299346
120.1,0.0320937
120.2,0.0342322
120.3,0.0363493
120.4,0.0384442
120.5,0.0405162
120.6,0.0425646
120.7,0.0445885
120.8,0.0465873
120.9,0.0485603
121,0.0505068
121.1,0.0524261
121.2,0.0543174
121.3,0.0561803
121.4,0.0580139
121.5,0.0598178
121.6,0.0615912
121.7,0.0633336
121.8,0.0650445
121.9,0.0667231
122,0.068369
122.1,0.0699816
122.2,0.0715604
122.3,0.073105
122.4,0.0746147
122.5,0.0760891
122.6,0.0775278
122.7,0.0789303
122.8,0.0802962
122.9,0.081625
123,0.0829165
123.1,0.08417
123.2,0.0853855
123.3,0.0865624
123.4,0.0877004
123.5,0.0887992
123.6,0.0898586
123.7,0.0908782
123.8,0.0918578
123.9,0.0927971
124,0.093696
124.1,0.0945541
124.2,0.0953713
124.3,0.0961474
124.4,0.0968822
124.5,0.0975757
124.6,0.0982276
124.7,0.0988379
124.8,0.0994065
124.9,0.0999332
125,0.100418
125.1,0.100861
125.2,0.101262
125.3,0.101621
125.4,0.101938
125.5,0.102214
125.6,0.102447
125.7,0.102638
125.8,0.102788
125.9,0.102896
126,0.102963
126.1,0.102988
126.2,0.102972
126.3,0.102915
126.4,0.102816
126.5,0.102677
126.6,0.102498
126.7,0.102278
126.8,0.102018
126.9,0.101718
127,0.101378
127.1,0.101
127.2,0.100582
127.3,0.100125
127.4,0.0996301
127.5,0.0990971
127.6,0.0985262
127.7,0.0979181
127.8,0.0972729
127.9,0.0965912
128,0.0958733
128.1,0.0951196
128.2,0.0943306
128.3,0.0935067
128.4,0.0926484
128.5,0.0917561
128.6,0.0908303
128.7,0.0898715
128.8,0.0888802
128.9,0.0878569
129,0.0868022
129.1,0.0857165
129.2,0.0846005
129.3,0.0834547
129.4,0.0822795
129.5,0.0810757
129.6,0.0798439
129.7,0.0785845
129.8,0.0772982
129.9,0.0759856
130,0.0746473
130.1,0.073284
130.2,0.0718963
130.3,0.0704849
130.4,0.0690503
130.5,0.0675933
130.6,0.0661144
130.7,0.0646145
130.8,0.0630941
130.9,0.0615539
131,0.0599947
131.1,0.0584171
131.2,0.0568218
131.3,0.0552095
131.4,0.0535809
131.5,0.0519368
131.6,0.0502778
131.7,0.0486047
131.8,0.0469181
131.9,0.0452189
132,0.0435076
132.1,0.0417852
132.2,0.0400522
132.3,0.0383094
132.4,0.0365576
132.5,0.0347975
132.6,0.0330298
132.7,0.0312553
132.8,0.0294746
132.9,0.0276885
133,0.0258979
133.1,0.0241032
133.2,0.0223055
133.3,0.0205052
133.4,0.0187033
133.5,0.0169003
133.6,0.0150971
133.7,0.0132943
133.8,0.0114927
133.9,0.00969303
134,0.00789592
134.1,0.00610213
134.2,0.00431235
134.3,0.00252729
134.4,0.000747645
134.5,-0.00102589
134.6,-0.00279263
134.7,-0.0045519
134.8,-0.00630301
134.9,-0.00804529
135,-0.00977808
135.1,-0.0115007
135.2,-0.0132126
135.3,-0.014913
135.4,-0.0166013
135.5,-0.0182769
135.6,-0.0199391
135.7,-0.0215874
135.8,-0.0232211
135.9,-0.0248397
136,-0.0264425
136.1,-0.0280289
136.2,-0.0295984
136.3,-0.0311504
136.4,-0.0326844
136.5,-0.0341998
136.6,-0.0356961
136.7,-0.0371726
136.8,-0.038629
136.9,-0.0400647
137,-0.0414792
137.1,-0.0428721
137.2,-0.0442427
137.3,-0.0455908
137.4,-0.0469157
137.5,-0.0482171
137.6,-0.0494945
137.7,-0.0507476
137.8,-0.0519758
137.9,-0.0531788
138,-0.0543562
138.1,-0.0555077
138.2,-0.0566328
138.3,-0.0577311
138.4,-0.0588025
138.5,-0.0598464
138.6,-0.0608627
138.7,-0.0618509
138.8,-0.0628109
138.9,-0.0637423
139,-0.0646448
139.1,-0.0655182
139.2,-0.0663623
139.3,-0.0671768
139.4,-0.0679615
139.5,-0.0687161
139.6,-0.0694406
139.7,-0.0701347
139.8,-0.0707982
139.9,-0.071431
140,-0.072033
140.1,-0.072604
140.2,-0.0731439
140.3,-0.0736526
140.4,-0.07413
140.5,-0.074576
140.6,-0.0749906
140.7,-0.0753737
140.8,-0.0757253
140.9,-0.0760453
141,-0.0763338
141.1,-0.0765907
141.2,-0.076816
141.3,-0.0770098
141.4,-0.0771721
141.5,-0.0773029
141.6,-0.0774023
141.7,-0.0774704
141.8,-0.0775073
141.9,-0.0775131
142,-0.0774878
142.1,-0.0774316
142.2,-0.0773447
142.3,-0.0772271
142.4,-0.077079
142.5,-0.0769007
142.6,-0.0766922
142.7,-0.0764538
142.8,-0.0761857
142.9,-0.0758881
143,-0.0755612
143.1,-0.0752052
143.2,-0.0748205
143.3,-0.0744072
143.4,-0.0739656
143.5,-0.0734961
143.6,-0.0729988
143.7,-0.0724741
143.8,-0.0719223
143.9,-0.0713437
144,-0.0707387
144.1,-0.0701076
144.2,-0.0694507
144.3,-0.0687683
144.4,-0.068061
144.5,-0.0673289
144.6,-0.0665726
144.7,-0.0657923
144.8,-0.0649885
144.9,-0.0641617
145,-0.0633121
145.1,-0.0624403
